Course,Link,Faculty,Institute
Applied Multivariate Statistical Modeling,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110105060,Dr J Maiti,IIT Kharagpur
Business Analysis for Engineers,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110106050,Dr. S. Vaidhyasubramaniam,IIT Madras
Consumer Behaviour,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110105054,Dr. Sangeeta Sahney,IIT Kharagpur
Econometric Modelling,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110105030,Dr. Rudra P. Pradhan,IIT Kharagpur
Economics / Management / Entrepreneurhip,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110105067,Prof. P.K.J. Mohapatra,IIT Kharagpur
Global Supply Chain Management,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110108056,Prof. N.Viswanadham,IISc Bangalore
Infrastructure Finance,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110106043,Dr. A. Thillai Rajan,IIT Madras
International Business Communication,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110105052, Prof. A Malik,IIT Kharagpur
International Finance,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110105057,Dr. Arun K. Misra,IIT Kharagpur
Managerial Accounting,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110101003,Dr. Varadraj Bapat,IIT Bombay
Managerial Economics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110101005,Dr. Trupti Mishra,IIT Bombay
Manufacturing Systems Management,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110106044,Prof. G. Srinivasan,IIT Madras
NOC:Introduction to Data Analytics(Course sponsored by Aricent),http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110106064,Dr. Balaraman Ravindran,Dr. Nandan Sudarsanam,IIT Madras
NOC:Introduction to Operations Research,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110106062,Prof. G. Srinivasan,IIT Madras
NOC:Managing Services(Course sponsored by Aricent),http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110104065,Prof. Jayanta Chatterjee,IIT Kanpur
NOC:Marketing Management-I,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110104068,Prof. Jayanta Chatterjee,Dr. Shashi Shekhar Mishra,IIT Kanpur
NOC:Principles of Human Resource Management,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110105069, Prof. A Malik,IIT Kharagpur
NOC:Quantitative Finance,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110104066,Dr. Raghu Nandan Sengupta,IIT Kanpur
NOC:Strategy: An Introduction to game Theory,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110104063,Dr. Vimal Kumar,Prof. Aditya K. Jagannatham,IIT Kanpur
Operations and Supply Chain Management,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110106045,Prof. G. Srinivasan,IIT Madras
Organisation Management,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110102016,Prof. Vinayshil Gautam,IIT Delhi
Organisation of Engineering Systems and Human Resources Management,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110102058,Prof. Vinayshil Gautam,IIT Delhi
Organizational Behaviour,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110105033,Dr. Susmita Mukhopadhyay,IIT Kharagpur
Security Analysis and Portfolio Management,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110105035,Dr. Jitendra Mahakud,Dr. Chandra Sekhar Mishra,IIT Kharagpur
Six Sigma,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110105039,Prof. Tapan P. Bagchi,IIT Kharagpur
Strategic Management,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110108047,Prof. R. Srinivasan,IISc Bangalore
Strategic Marketing - Contemporary Issues,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=110104055,Prof. Jayanta Chatterjee,IIT Kanpur
